Time,TOPUPCC:rdEffBoostR [%],TOPUPCC:rdCur [mA],LINAC1C:rdHVS_C [µA],TOPUPCC:rdCurrentB [mA],PAHB:sDelay [ns],CUMZD4R:rdLt10 [h],PAHR:sCavSet []
08/05/2017 04:22:49.987881,-1,8.88353,-3.47219,0.709641,0.75,-1.29626,1120
08/05/2017 04:22:50.987851,-1,8.88713,-3.29865,0.673606,0.75,-1.02177,1120
08/05/2017 04:22:51.986971,-1,8.88909,-3.47219,0.744198,0.75,-0.919828,1120
08/05/2017 04:22:52.986023,-1,8.89484,-3.29865,0.375439,0.75,-0.820985,1120
08/05/2017 04:22:53.986017,-1,8.89551,-3.47219,0.719068,0.8,-0.776434,1120
08/05/2017 04:22:54.985064,-1,8.89551,-3.47219,0.703629,0.8,-0.733707,1120
08/05/2017 04:22:55.984998,-1,8.90656,-3.47219,0.711864,0.8,-0.74558,1120
08/05/2017 04:22:56.984107,-1,8.92129,-3.47219,0.681015,0.8,-0.593463,1120
08/05/2017 04:22:57.984082,-1,8.92677,-3.47219,0.7735,0.8,-0.524516,1120
08/05/2017 04:22:58.983227,-1,8.94083,-3.47219,0.727336,0.8,-0.408932,1120
08/05/2017 04:22:59.982470,-1,8.94612,-3.47219,0.744648,0.8,-0.361016,1120
08/05/2017 04:23:00.981504,-1,8.95916,-3.29865,0.712629,0.8,-0.298004,1120
08/05/2017 04:23:01.980689,-1,8.9664,-3.29865,0.715696,0.8,-0.278641,1120
08/05/2017 04:23:02.979866,-1,8.98054,-3.47219,0.694071,0.8,-0.248746,1120
08/05/2017 04:23:03.978971,-1,8.98671,-3.29865,0.756226,0.85,-0.243478,1120
08/05/2017 04:23:04.978047,-1,9.00181,-3.47219,0.731249,0.85,-0.228753,1120
08/05/2017 04:23:05.977237,-1,9.01295,-3.47219,0.738729,0.85,-0.235139,1120
08/05/2017 04:23:06.976435,-1,9.03439,-3.47219,0.698164,0.85,-0.21002,1120
08/05/2017 04:23:07.975600,-1,9.04527,-3.47219,0.700034,0.85,-0.206381,1120
08/05/2017 04:23:08.974689,-1,9.06611,-3.47219,0.681267,0.85,-0.18153,1120
08/05/2017 04:23:09.973878,-1,9.06611,-3.47219,0.74028,0.85,-0.17758,1120
08/05/2017 04:23:10.973050,-1,9.07094,-3.47219,0.720367,0.85,-0.168349,1120
08/05/2017 04:23:11.973008,-1,9.08204,-3.47219,0.352627,0.85,-0.175016,1120
08/05/2017 04:23:12.972216,-1,9.09585,-3.29865,0.697088,0.85,-0.164032,1120
08/05/2017 04:23:13.971348,-1,9.11912,-3.47219,0.742774,0.9,-0.168919,1120
08/05/2017 04:23:14.970389,-1,9.13304,-3.6458,0.684926,0.9,-0.156748,1120
08/05/2017 04:23:15.969577,-1,9.15634,-3.6458,0.748797,0.9,-0.159529,1120
08/05/2017 04:23:16.968718,-1,9.17905,-3.29865,0.732762,0.9,-0.135715,1120
08/05/2017 04:23:17.967967,19.3481,9.21557,-3.47219,0.742322,0.9,-0.128804,1120
08/05/2017 04:23:18.967703,19.3481,9.23523,-3.47219,0.713797,0.9,-0.109425,1120
08/05/2017 04:23:19.966929,18.2744,9.267,-3.29865,0.703881,0.9,-0.103819,1120
08/05/2017 04:23:20.966086,18.2744,9.28803,-3.29865,0.685294,0.9,-0.0940897,1120
08/05/2017 04:23:21.965176,17.9826,9.34257,-3.29865,0.73923,0.9,-0.0941636,1120
08/05/2017 04:23:22.964408,17.9826,9.37717,-3.29865,0.7066,0.9,-0.087594,1120
08/05/2017 04:23:23.963654,18.5143,9.39849,-3.29865,0.723577,0.95,-0.0898628,1120
08/05/2017 04:23:24.962699,18.5143,9.39849,-3.29865,0.675947,0.95,-0.0866495,1120
08/05/2017 04:23:25.961941,18.1951,9.42927,-3.29865,0.706048,0.95,-0.0916003,1120
08/05/2017 04:23:26.961031,18.1951,9.45872,-3.29865,0.671155,0.95,-0.0851163,1120
08/05/2017 04:23:27.960192,21.8169,9.49922,-3.29865,0.771831,0.95,-0.0868838,1120
08/05/2017 04:23:28.960058,21.8169,9.53178,-3.12504,0.718197,0.95,-0.0792298,1120
08/05/2017 04:23:29.959292,24.6664,9.57283,-3.29865,0.72873,0.95,-0.0799033,1120
08/05/2017 04:23:30.958501,24.6664,9.60333,-3.29865,0.695868,0.95,-0.0736149,1120
08/05/2017 04:23:31.957660,24.3859,9.64262,-3.29865,0.697876,0.95,-0.0746293,1120
08/05/2017 04:23:32.957480,24.3859,9.67681,-3.29865,0.741609,0.95,-0.0688559,1120
08/05/2017 04:23:33.956798,25.1973,9.7195,-3.29865,0.742743,1,-0.0701267,1120
08/05/2017 04:23:34.955911,25.1973,9.7521,-3.29865,0.720649,1,-0.066576,1120
08/05/2017 04:23:35.955048,25.0218,9.79272,-3.47219,0.734968,1,-0.0693294,1120
08/05/2017 04:23:36.954240,25.0218,9.83952,-3.29865,0.233569,1,-0.0637031,1120
08/05/2017 04:23:37.953449,34.5331,9.8936,-3.29865,0.705906,1,-0.0646312,1120
08/05/2017 04:23:38.952946,34.5331,9.94144,-3.29865,0.21863,1,-0.0584589,1120
08/05/2017 04:23:39.952262,34.3286,9.99597,-3.29865,0.731067,1,-0.0590841,1120
08/05/2017 04:23:40.951538,34.3286,10.012,-3.29865,0.192402,1,-0.0586517,1120
08/05/2017 04:23:43.949200,31.1843,10.1237,-3.29865,0.216083,1.05,-0.0659388,1120
08/05/2017 04:23:44.948388,31.1843,10.1715,-3.29865,0.219897,1.05,-0.0632904,1120
08/05/2017 04:23:45.947644,31.2598,10.2205,-3.29865,0.746878,1.05,-0.0677145,1120
08/05/2017 04:23:49.944548,43.9539,10.3977,-3.12504,0.72247,1.05,-0.0608958,1120
08/05/2017 04:23:50.943754,43.9539,10.4669,-3.29865,0.70019,1.05,-0.0547939,1120
08/05/2017 04:23:51.943070,43.8313,10.5314,-3.29865,0.758265,1.05,-0.0547464,1120
08/05/2017 04:23:52.942285,43.8313,10.5996,-3.29865,0.743546,1.05,-0.0486266,1120
08/05/2017 04:23:53.941723,45.516,10.6631,-3.29865,0.723616,1.1,-0.0479366,1120
