Time,TOPUPCC:rdEffBoostR [%],TOPUPCC:rdCur [mA],LINAC1C:rdHVS_C [µA],TOPUPCC:rdCurrentB [mA],PAHB:sDelay [ns],CUMZD4R:rdLt10 [h],PAHR:sCavSet []
08/05/2017 01:23:31.428870,42.3422,12.6098,-3.6458,0.782623,1.1,-0.049389,1120
08/05/2017 01:23:32.428271,42.3422,12.7708,-3.47219,0.795283,1.1,-0.0485256,1120
08/05/2017 01:23:33.428157,57.9435,12.7878,-3.6458,0.758772,1.1,-0.0471137,1120
08/05/2017 01:23:34.427406,57.9435,12.9577,-3.6458,0.756998,1.1,-0.0451728,1120
08/05/2017 01:23:35.426883,58.0544,12.9717,-3.6458,0.786868,1.1,-0.0430802,1120
08/05/2017 01:23:36.426062,58.0544,13.1338,-3.47219,0.787199,1.1,-0.0411545,1120
08/05/2017 01:23:37.425215,57.479,13.1478,-3.47219,0.759607,1.1,-0.039551,1120
08/05/2017 01:23:38.424279,57.479,13.3148,-3.47219,0.770837,1.1,-0.0383639,1120
08/05/2017 01:23:39.423525,58.9681,13.3263,-3.47219,0.744143,1.1,-0.0376643,1120
08/05/2017 01:23:40.422684,58.9681,13.4923,-3.47219,0.768259,1.15,-0.0374692,1120
